GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,WAS,DAL,Week
2024010707,2024-01-07,1,10,13,DAL,WAS,1,10,33,1,0,(10:13) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 3-B.COOKS TO DAL 48 FOR 15 YARDS (13-E.FORBES).,0,2023,15,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,33,OWN,0,,0,,0,287,0,0,18
2024010707,2024-01-07,1,9,42,DAL,WAS,1,10,48,0,0,(9:42) 20-T.POLLARD LEFT TACKLE TO WAS 46 FOR 6 YARDS (51-D.MAYO).,0,2023,6,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,48,OWN,0,,0,,0,318,0,0,18
2024010707,2024-01-07,1,9,12,DAL,WAS,2,4,54,1,0,(9:12) 4-D.PRESCOTT PASS SHORT RIGHT TO 88-C.LAMB PUSHED OB AT WAS 31 FOR 15 YARDS (32-T.BURGESS).,0,2023,15,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,46,OPP,0,,0,,0,348,0,0,18
2024010707,2024-01-07,1,8,42,DAL,WAS,1,10,69,0,0,(8:42) 4-D.PRESCOTT PASS SHORT MIDDLE TO 88-C.LAMB TO WAS 22 FOR 9 YARDS (25-B.ST-JUSTE).,0,2023,9,UNDER CENTER,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,31,OPP,0,,0,,0,378,0,0,18
2024010707,2024-01-07,1,8,9,DAL,WAS,2,1,78,1,0,(8:09) 20-T.POLLARD RIGHT TACKLE TO WAS 18 FOR 4 YARDS (32-T.BURGESS).,0,2023,4,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,22,OPP,0,,0,,0,411,0,0,18
2024010707,2024-01-07,1,7,35,DAL,WAS,1,10,82,0,0,"(7:35) 3-B.COOKS LEFT END TO WAS 15 FOR 3 YARDS (13-E.FORBES, 47-K.HUDSON).",0,2023,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,18,OPP,0,,0,,0,445,0,0,18
2024010707,2024-01-07,1,7,1,DAL,WAS,2,7,85,1,0,(7:01) (SHOTGUN) 4-D.PRESCOTT PASS SHORT LEFT TO 20-T.POLLARD TO WAS 3 FOR 12 YARDS (47-K.HUDSON).,0,2023,12,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,479,0,0,18
2024010707,2024-01-07,1,6,30,DAL,WAS,1,3,97,1,0,"(6:30) 4-D.PRESCOTT PASS SHORT RIGHT TO 18-J.TOLBERT FOR 3 YARDS, TOUCHDOWN.",0,2023,3,UNDER CENTER,PASS,0,1,0,1,SHORT RIGHT,0,0,0,,0,0,0,0,0,,3,OPP,0,,0,,0,510,0,0,18
2024010707,2024-01-07,1,6,26,DAL,WAS,0,0,85,1,0,"17-B.AUBREY EXTRA POINT IS GOOD, CENTER-44-T.SIEG, HOLDER-5-B.ANGER.",0,2023,0,UNDER CENTER,EXTRA POINT,0,0,0,0,,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,514,0,0,18
2024010707,2024-01-07,1,6,19,DAL,WAS,1,10,69,0,0,(6:19) 9-K.TURPIN LEFT END TO WAS 26 FOR 5 YARDS (48-S.CHANDLER).,0,2023,5,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT END,31,OPP,0,,0,,0,521,0,0,18
