GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,NextScore,Description,TeamWin,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards,Duration,LA,SF,Week
2024010710,2024-01-07,1,15,0,SF,LA,0,0,65,1,0,"42-E.EVANS KICKS 65 YARDS FROM LAR 35 TO END ZONE, TOUCHBACK.",0,2023,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,,35,OPP,0,,0,,0,0,0,0,18
2024010710,2024-01-07,1,15,0,SF,LA,1,10,25,0,0,(15:00) (SHOTGUN) 14-S.DARNOLD PASS SHORT RIGHT TO 19-D.SAMUEL PUSHED OB AT SF 31 FOR 6 YARDS (44-A.WITHERSPOON).,0,2023,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,25,OWN,0,,0,,0,0,0,0,18
2024010710,2024-01-07,1,14,30,SF,LA,2,4,31,1,0,(14:30) (SHOTGUN) 14-S.DARNOLD PASS SHORT LEFT TO 89-C.WOERNER TO LAR 49 FOR 20 YARDS (44-A.WITHERSPOON).,0,2023,20,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,31,OWN,0,,0,,0,30,0,0,18
2024010710,2024-01-07,1,13,43,SF,LA,1,10,51,0,0,"(13:43) (SHOTGUN) 25-E.MITCHELL RIGHT TACKLE TO LAR 45 FOR 4 YARDS (37-Q.LAKE, 95-B.BROWN).",0,2023,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,RIGHT TACKLE,49,OPP,0,,0,,0,77,0,0,18
2024010710,2024-01-07,1,13,2,SF,LA,2,6,55,0,0,(13:02) 25-E.MITCHELL LEFT TACKLE TO LAR 43 FOR 2 YARDS (59-T.REEDER; 97-M.HOECHT).,0,2023,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,45,OPP,0,,0,,0,118,0,0,18
2024010710,2024-01-07,1,12,19,SF,LA,3,4,57,1,0,(12:19) (SHOTGUN) 14-S.DARNOLD PASS SHORT LEFT TO 11-B.AIYUK TO LAR 38 FOR 5 YARDS (44-A.WITHERSPOON).,0,2023,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,,43,OPP,0,,0,,0,161,0,0,18
2024010710,2024-01-07,1,11,38,SF,LA,1,10,62,0,0,(11:38) (SHOTGUN) 25-E.MITCHELL LEFT GUARD TO LAR 33 FOR 5 YARDS (90-E.BROWN).,0,2023,5,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT GUARD,38,OPP,0,,0,,0,202,0,0,18
2024010710,2024-01-07,1,11,2,SF,LA,2,5,67,1,0,(11:02) (SHOTGUN) 14-S.DARNOLD PASS SHORT MIDDLE TO 25-E.MITCHELL TO LAR 26 FOR 7 YARDS (59-T.REEDER) [91-K.TURNER].,0,2023,7,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,,33,OPP,0,,0,,0,238,0,0,18
2024010710,2024-01-07,1,10,18,SF,LA,1,10,74,1,0,(10:18) (SHOTGUN) 19-D.SAMUEL LEFT TACKLE TO LAR 15 FOR 11 YARDS (4-J.FULLER).,0,2023,11,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,LEFT TACKLE,26,OPP,0,,0,,0,282,0,0,18
2024010710,2024-01-07,1,9,33,SF,LA,1,10,85,1,0,(9:33) 14-S.DARNOLD PASS SHORT RIGHT TO 11-B.AIYUK TO LAR 4 FOR 11 YARDS (14-C.DURANT).,0,2023,11,UNDER CENTER,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,,15,OPP,0,,0,,0,327,0,0,18
